ProlificID,SyntheticPersonID,AttnCheck,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Condition
P000002,14845,,Moderately harmful,Very harmful,Very harmful,Very harmful,Slightly harmful,Slightly harmful,Moderately harmful,Extremely harmful,Financial
P000002,7395,,Moderately harmful,Very harmful,Very harmful,Very harmful,Slightly harmful,Slightly harmful,Moderately harmful,Extremely harmful,Financial
P000002,3237,,Moderately harmful,Very harmful,Very harmful,Very harmful,Slightly harmful,Slightly harmful,Moderately harmful,Extremely harmful,Financial
P000002,1861,Green,Moderately harmful,Very harmful,Very harmful,Very harmful,Slightly harmful,Slightly harmful,Moderately harmful,Extremely harmful,Financial
P000002,8166,,Moderately harmful,Very harmful,Very harmful,Very harmful,Slightly harmful,Slightly harmful,Moderately harmful,Extremely harmful,Financial
P000002,16357,,Very harmful,Very harmful,Very harmful,Very harmful,Slightly harmful,Slightly harmful,Moderately harmful,Extremely harmful,Financial
P000002,6044,,Moderately harmful,Very harmful,Very harmful,Very harmful,Slightly harmful,Slightly harmful,Moderately harmful,Extremely harmful,Financial
P000002,11086,,Moderately harmful,Very harmful,Very harmful,Very harmful,Slightly harmful,Slightly harmful,Moderately harmful,Extremely harmful,Financial
P000002,1024,,Moderately harmful,Very harmful,Very harmful,Very harmful,Slightly harmful,Slightly harmful,Moderately harmful,Extremely harmful,Financial
P000002,13676,,Moderately harmful,Very harmful,Very harmful,Very harmful,Slightly harmful,Slightly harmful,Moderately harmful,Extremely harmful,Financial
P000002,13735,,Moderately harmful,Very harmful,Very harmful,Very harmful,Slightly harmful,Slightly harmful,Moderately harmful,Extremely harmful,Financial
P000002,4442,,Moderately harmful,Very harmful,Very harmful,Very harmful,Slightly harmful,Slightly harmful,Moderately harmful,Extremely harmful,Financial
P000003,1545,,Very harmful,Very harmful,Extremely harmful,Moderately harmful,Slightly harmful,Moderately harmful,Moderately harmful,Extremely harmful,Financial
P000003,8617,,Very harmful,Very harmful,Extremely harmful,Moderately harmful,Slightly harmful,Moderately harmful,Very harmful,Extremely harmful,Financial
